n_articles,n_properties_present,model_a_level,model_a_label,model_a_sig_count,model_b_risk_score,model_b_raw_score,date,event_id,actual_label
41353,12,3,Alert,12,0.0,0.0,2006-01-17,1,1
87150,12,3,Alert,12,0.0,0.0,2006-02-03,2,1
115834,12,3,Alert,12,0.0,0.0,2006-03-03,3,1
115550,12,3,Alert,12,0.0,0.0,2006-03-22,4,1
127811,12,3,Alert,12,0.0,0.0,2006-04-28,5,1
119524,12,3,Alert,12,0.0,0.0,2006-05-15,6,1
119749,12,3,Alert,12,0.2,0.0126,2006-06-07,7,1
116202,12,3,Alert,12,0.69,0.0431,2006-06-20,8,1
120346,12,3,Alert,12,0.0,0.0,2006-07-14,9,1
107854,12,3,Alert,12,0.0,0.0,2006-10-09,10,1
115613,12,3,Alert,12,0.0,0.0,2007-02-28,11,1
128685,12,3,Alert,12,0.0,0.0,2007-07-26,12,1
129555,12,3,Alert,12,0.38,0.0239,2007-08-10,13,1
127219,12,3,Alert,12,0.33,0.0207,2007-08-16,14,1
127554,12,3,Alert,12,0.0,0.0,2007-09-10,15,1
117936,12,3,Alert,12,0.0,0.0,2007-10-22,16,1
127899,12,3,Alert,12,1.08,0.0681,2007-11-02,17,1
130184,12,3,Alert,12,0.78,0.0488,2007-11-08,18,1
141576,12,3,Alert,12,0.88,0.0553,2007-11-21,19,1
137436,12,3,Alert,12,0.31,0.0194,2007-12-17,20,1
132694,12,3,Alert,12,0.0,0.0,2008-01-02,21,1
138767,12,3,Alert,12,0.0,0.0,2008-01-11,22,1
138252,12,3,Alert,12,7.66,0.4818,2008-01-28,23,1
137205,12,3,Alert,12,2.5,0.1574,2008-02-11,24,1
153295,12,3,Alert,12,4.08,0.2569,2008-03-03,25,1
154617,12,3,Alert,12,3.7,0.2327,2008-03-10,26,1
177931,12,3,Alert,12,13.45,0.8456,2008-06-12,27,1
190700,12,3,Alert,12,24.89,1.5651,2008-07-02,28,1
189071,12,3,Alert,12,31.89,2.0054,2008-07-08,29,1
192279,12,3,Alert,12,37.26,2.3431,2008-07-15,30,1
177765,12,3,Alert,12,11.23,0.7065,2008-09-01,31,1
171821,12,3,Alert,12,20.93,1.3162,2008-09-16,32,1
182931,12,3,Alert,12,54.19,3.408,2008-10-06,33,1
210798,12,3,Alert,12,100.0,6.289,2008-11-06,34,1
210481,12,3,Alert,12,73.19,4.6031,2008-12-02,35,1
220275,12,3,Alert,12,66.09,4.1563,2008-12-12,36,1
210680,12,3,Alert,12,54.35,3.4183,2008-12-23,37,1
210857,12,3,Alert,12,45.51,2.8619,2009-01-09,38,1
211910,12,3,Alert,12,36.72,2.3094,2009-02-17,39,1
213220,12,3,Alert,12,45.88,2.8855,2009-03-02,40,1
230634,12,3,Alert,12,35.66,2.2425,2009-03-30,41,1
237670,12,3,Alert,12,25.64,1.6124,2009-04-08,42,1
228272,12,3,Alert,12,29.3,1.8427,2009-04-28,43,1
227245,12,3,Alert,12,10.95,0.6888,2009-05-14,44,1
212662,12,3,Alert,12,15.01,0.9441,2009-05-26,45,1
223627,12,3,Alert,12,20.0,1.2577,2009-06-04,46,1
216539,12,3,Alert,12,25.14,1.5811,2009-06-23,47,1
